# id	left	top	right	bottom	texture_id
[SPRITES]
65000	14	352	303	399	30

#NUMBER
65100	75	444	82	451	30
65101	86	444	91	451	30
65102	95	444	102	451	30
65103	105	444	112	451	30
65104	115	444	122	451	30
65105	125	444	132	451	30
65106	135	444	142	451	30
65107	145	444	152	451	30
65108	155	444	162	451	30
65109	165	444	172	451	30

#RUNBAR
65200	230	445	237	452	30
65201	203	445	210	452	30
65202	212	445	227	452	30
65203	239	445	254	452	30

#TEXT END LEVEL
#course clear !
65204	79	520	204	527	30
#you got a card
65205	59	539	224	564	30
#STAR-GIANT-FLOWER
65206	224	496	239	511	30
65207	240	496	255	511	30
65208	256	496	271	511	30

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
20001	55000	100
