# id	left	top	right	bottom	texture_id
[SPRITES]
#Bush1
60000	3	80	130	143	30
#Bush2
60001	478	250	605	313	30
#Bush3
60002	407	266	470	313	30
#smallBush
60003	55	7	70	22	30
#bigCloud
60004	75	2	122	25	30
#smallCloud
60005	130	1	161	24	30	
#verybigCloud
60006	76	33	139	56	30
#Pipe Big 
60007	5	28	36	75	30
#waveBox
60008	167	7	182	22	30
#shiny brick
60009	230	27	245	42	30
60010	247	27	262	42	30
60011	264	27	279	42	30
60012	281	27	296	42	30
#CloudFloor
60013	185	27	200	42	30	
#BrickHiddenRoom
60014	167	27	182	42	30
#Pipe Small
60015	40	44	71	75	30
#Pipe no lid
60016	336	368	365	399	30
#Long pipe
60017	373	351	404	542	30
#Bush 4
60018	559	20	654	147	30

#Box
60110	136	102	183	149	30
60111	168	70	215	149	30 x 
60120	235	102	314	149	30
60121	299	70	362	149	30
60122	347	118	442	149	30 x
60123	347	38	410	149	30 x
60124	154	218	265	249	30
60125	186	186	297	249	30
60126	218	154	337	249	30
60127	492	5	539	148	30

#BoxShadow
60211	216	78	223	149	30
60223	411	46	418	117	30
60222	443	126	450	149	30
60227	540	13	547	148	30


# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
10001	60009	100	60010	100	60011	100	60012	100
